推,噓,分數,作者,標題,時間
3,2,1,ocean92 (海),[問卦] 惡魔符號666為什麼還要辦活動 宅在家ok？,Sat May 30 08:45:41 2020
325,17,308,Mariano42 (Mariano Rivera),[爆卦] CNN總部被黑人暴民砸毀啦!,Sat May 30 09:41:16 2020
4,0,4,yafx4200p (是該下凡渡劫了),Re,Sat May 30 07:55:59 2020
3,8,-5,popy8789 (面對它),[問卦] 長輩有催婚壓力可以說通姦除罪不想找嗎？,Sat May 30 00:49:20 2020
2,0,2,AngryYouth (森寶 420friendly),Re,Sat May 30 06:13:40 2020
3,1,2,mshuang (竹碳烏龍),Re,Sat May 30 06:19:30 2020
39,12,27,poi96300 (天阿poi),[問卦] Google還要統一多少東西？,Sat May 30 09:24:10 2020
7,0,7,Bainite (黑羽毛 ┐(′д`)┌),[問卦] 宵夜吃這樣合格了ㄅ,Sat May 30 00:58:52 2020
2,1,1,honkwun (反皮草 拒絕血腥時尚),[新聞] 核災後日本中斷鐵道再開 JR員工憂輻射被,Sat May 30 09:20:02 2020
7,3,4,afflic (afflic),Re,Sat May 30 04:12:45 2020
381,16,365,jimmy5680 (If Penguins May Fly),[爆卦] 川普：美國將取消香港特殊待遇,Sat May 30 03:25:09 2020
9,2,7,moonblacktea (張阿月紅茶冰),Re,Sat May 30 08:57:42 2020
3,0,3,xoxxo (xoxxo),Re,Sat May 30 02:00:19 2020
8,0,8,blargelp (bernie識形態),[問卦] 中國到底贏得了多少東西,Sat May 30 09:44:28 2020
29,2,27,alicevvn (阿利系委委恩),Re,Sat May 30 02:22:27 2020
6,0,6,genheit (genheit),[問卦] 妻不如妾，妾不如妓，妓不如偷，偷…,Sat May 30 03:29:24 2020
7,1,6,mongi (大體老屍),[新聞] 爆染病墮胎遭網酸鮑鮑換包包 亞洲波神,Sat May 30 10:02:21 2020
0,0,0,pujos (lks),Re,Sat May 30 11:04:18 2020
3,4,-1,ShenVen5566 (三代自耕農),[問卦] 置板凳！ 我有說「好」嗎？ 上一動,Sat May 30 02:07:08 2020
29,1,28,m0ark121 (ALICE),[新聞] 快訊／川普宣布「終止與WHO關係」將取消,Sat May 30 03:26:07 2020
3,5,-2,zzyyxx77 (討噓大師77),[問卦] 明天想借老北的車開？,Sat May 30 02:51:18 2020
5,2,3,cwh0105 (Ex咖哩棒),[問卦] 女友接了社長要跟我分手怎麼辦?,Sat May 30 00:51:46 2020
1,2,-1,spector66 (天氣預報),[新聞] 中央有溝通振興券政策？黃珊珊：北市府和,Sat May 30 09:55:53 2020
4,0,4,todao (心裡有數),Re,Sat May 30 06:26:03 2020
21,5,16,minami77 (南),[問卦] 川普講完甩頭就走代表什麼?,Sat May 30 08:20:12 2020
3,11,-8,wakaura (wakaura),[問卦] 女生一大早穿黑絲不會涼嗎？,Sat May 30 08:49:00 2020
12,0,12,CavendishJr (伊井野梅西子),[新聞] 西班牙批准窮人最低收入補貼計畫 每人每,Sat May 30 08:09:33 2020
6,1,5,Rin5566 (派屈克),[問卦] 有沒有大雨的八卦？,Sat May 30 04:09:12 2020
7,5,2,ss8901233 (不聽不聽你別說),[問卦] 求推薦cp值高的藍芽運動耳機,Sat May 30 03:02:34 2020
4,1,3,kilva (嗡嗡),[問卦] 侵權行為與刑責間的關係,Sat May 30 07:56:43 2020
10,2,8,ggian123 (小孩當國文老師打斷他腿),[問卦] 川普現在是不是很爽,Sat May 30 10:08:11 2020
24,33,-9,DDDDRR (QQ),[新聞] 米砂拋震撼彈「我進軍A片圈了」！　已拍5,Sat May 30 09:32:10 2020
7,0,7,nawabonga (vista不到三年就玩完),[問卦] 台灣怎麼那麼多奇奇怪怪的聯盟,Sat May 30 10:51:31 2020
5,0,5,petfat918 (阿肥),Re,Sat May 30 10:15:59 2020
2,1,1,gay731 (G少),[問卦] 寒風吹起 細雨迷離 風雨揭開我的記憶,Sat May 30 09:24:44 2020
48,2,46,cosmite (焼き団子),[問卦] 驚！企鵝是鳥類 有不能飛的鳥？,Sat May 30 09:02:01 2020
59,4,55,guohuo (帕羅奧圖馬克祖克伯),[問卦] 帳號whale666在蝦皮賣ptt代發文的卦?,Sat May 30 04:14:09 2020
9,1,8,IamCuteGirl (CuteGirl5566),[問卦] 有生之年能看到中國被肛嗎？,Sat May 30 04:01:12 2020
54,2,52,LukeSkywaker (路克天醒者),[爆卦] SpaceX starship SN4 爆炸啦,Sat May 30 03:26:30 2020
8,10,-2,Heedictator (希澈),[問卦] 泱泱是不是屌打一堆台男？,Sat May 30 02:50:05 2020
10,1,9,whiteadam (blue eyes blue),[問卦] 電音歌曲有超越眉飛色舞的嗎?,Sat May 30 01:44:07 2020
5,3,2,A816 (♥七瀬丸的灰太狼♥),[問卦] 收到69元紅包代表什麼？,Sat May 30 08:12:15 2020
11,21,-10,Wardyal (Wardyal),[問卦] 假如你是特朗普你會怎麼做？,Sat May 30 11:00:30 2020
2,12,-10,Soros79 (井底蛙),[問卦]港台覺青是否應該支持美國示威者,Sat May 30 03:22:35 2020
10,0,10,ikai99 (18歲的天空),Re,Sat May 30 02:16:35 2020
0,0,0,hika1234 (魚飄飄),Re,Sat May 30 09:57:11 2020
8,4,4,LEEJINQYEU (不專業貓奴),[問卦] 有沒有雲米洗衣機出貨問題的八卦？,Sat May 30 02:31:44 2020
3,1,2,downstairs (樓下),[問卦] 肥宅做自己有加分嗎？,Sat May 30 09:55:23 2020
3,4,-1,JRSmith (肥宅編號7414),[問卦] 通姦除罪跟肥宅有什麼關係？,Sat May 30 02:39:19 2020
4,4,0,autokey (該起床啦),[問卦] 護理師班表的C班要做啥的八卦？,Sat May 30 03:37:53 2020
6,3,3,Ahhhhaaaa (果汁棒),Re,Sat May 30 00:46:23 2020
1,2,-1,a58524andy (a58524andy),[問卦] 我會不會又睡到下午了,Sat May 30 10:41:58 2020
7,4,3,Dinenger (低能兒),[問卦] 請問現在是開啟了大約跑時代了嗎？,Sat May 30 00:54:37 2020
6,7,-1,a22298811 (鐵達尼號),[問卦] 去參加客家婚禮喜糖不能抓一把的八卦,Sat May 30 00:50:47 2020
6,21,-15,abc0312 (ABC),Re,Sat May 30 07:36:55 2020
3,8,-5,fantasibear (布穀熊),[問卦] 玖壹壹的失敗是不是不會唱饒舌？,Sat May 30 02:31:12 2020
4,2,2,piggy37 (小時),[問卦] 沒有人民幣是不是很恐怖,Sat May 30 09:45:16 2020
4,3,1,Dinenger (低能兒),Re,Sat May 30 02:43:30 2020
16,19,-3,takashi01 (廢文小王子),[問卦] 林弈含是誣告始祖嗎？,Sat May 30 03:33:04 2020
